company,domain,city,why_in_gold
Acme Industrial,acmeindustrial.test,Lehi,fixture
Wasatch CE Institute,wasatchce.test,Salt Lake City,fixture
Chatbooks,chatbooks.com,Provo,Utah 100 corridor HQ
Neighbor,neighbor.com,Lehi,Silicon Slopes
Homie,homie.com,Salt Lake City,corridor HQ
Pura,pura.com,Salt Lake City,Utah HQ
Lendio,lendio.com,Lehi,Silicon Slopes
Big-D Construction,big-d.com,Salt Lake City,regional contractor
Jacobsen Construction,jacobsenconstruction.com,Salt Lake City,regional contractor
Solutionreach,solutionreach.com,Lehi,health tech
PracticeTek,practicetek.com,Lehi,health tech
SimpleNexus,simplenexus.com,Lehi,mortgage tech
Pattern,pattern.com,Lehi,e-commerce ops
Spiff,spiff.com,Sandy,GTM software
Kicksta,kicksta.co,Lehi,agency
Peak Capital Partners,peakcapitalpartners.com,Provo,owner-operated
OrangeSoda,orangesoda.com,American Fork,historic Silicon Slopes
Cotopaxi,cotopaxi.com,Salt Lake City,Utah 100
Sundance Catalog,sundancecatalog.com,Salt Lake City,Utah 100
HealthEquity,healthequity.com,Draper,Utah 100 — may exceed 200 and miss
